id;nombre_ciudad;codigo_ciudad
1;Rubber connecting back-end;Small Wooden Gloves Expanded viral
2;Incredible Integration;Bedfordshire navigating
3;Village;XML Sausages
4;Borders Planner navigating;Cambridgeshire
5;Granite quantifying;CFA Franc BEAC Syrian Arab Republic
6;back-end digital secured line;Graphic Interface
7;Keyboard;Future-proofed Metrics North Carolina
8;generating Granite FTP;Investment Account Rubber Legacy
9;Gloves Cambridgeshire revolutionize;withdrawal
10;Sleek Steel Hat;Versatile
