id;codigo;nombre;descripcion;direccion;website;contacto;representante;skype;telefono;estatus;tipo_programas;programa_estandar;programa_intensivo;programa_negocios;preparacion_examen;programa_academico;descuento;inscripcion;materiales;seguro_medico;alojamiento_sencillo;alojamiento_doble;transporte_aeropuerto;tipo_curso;temporada_alta;temporada_baja;fecha_inicial;horarios;instalaciones;nacionalidad;logo;logo_content_type;foto_1;foto_1_content_type;foto_2;foto_2_content_type;foto_3;foto_3_content_type
1;mobile Fish;Home Loan Account Table Computer;../data/blob/hipster.txt;Trace;Savings Account alarm;Tasty Metal Bacon;red Chips Soap;Home Loan Account;web-readiness;Namibia;Steel zero administration;Multi-channelled Licensed;grey Cambridgeshire;Canyon HDD;Table Small Frozen Sausages Planner;envisioneer Music Public-key;24102;Bahamian Dollar Investment Account;Games Regional Digitized;copy convergence;Mayotte;Industrial;connect Markets Chief;capacitor archive;sky blue Tasty Plastic Pizza;compress South Georgia and the South Sandwich Islands;2019-07-29;Specialist Home Loan Account;Plastic;Car Industrial deliverables;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png
2;orange Books;magenta monitor 1080p;../data/blob/hipster.txt;Unbranded Plastic Tuna Frozen;generating Highway Ergonomic;moratorium moratorium;New York tangible Mississippi;Frozen bus;hard drive Robust Networked;Poland;Small partnerships;Outdoors;Harbor Montana;Corporate Phased relationships;white Brand Money Market Account;Salad Web virtual;63340;RSS;mint green e-business EXE;back-end;granular Direct contextually-based;synergies copying;ability Hat Iraq;magenta Concrete;User-centric Gloves;Mauritania;2019-07-29;robust Engineer;Exclusive Moroccan Dirham card;zero tolerance;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png
3;mission-critical;Berkshire Small Plastic Pants Investor;../data/blob/hipster.txt;Canadian Dollar;Berkshire Designer;Credit Card Account;navigate;Re-contextualized;web-enabled invoice withdrawal;bypassing optical;installation;Argentine Peso;Kentucky Algerian Dinar Clothing;open-source turn-key;Sausages;disintermediate Cambridgeshire hacking;67569;bandwidth azure;SMS Enhanced;Bacon Designer;Equatorial Guinea Vision-oriented;Agent;Human deposit;even-keeled Saint Helena Pound;Internal AI optical;bypassing Marketing;2019-07-29;New Zealand Dollar Alabama transform;invoice Home Gloves;Buckinghamshire Ports;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png
4;Devolved driver Networked;Fish;../data/blob/hipster.txt;payment calculating;local area network Benin;turn-key dedicated;Wisconsin;target Human withdrawal;dot-com payment Libyan Dinar;white sensor local;calculate;Chips;Villages uniform PCI;Automotive Tactics architectures;Wisconsin Facilitator Incredible;reinvent;85113;infrastructure;mesh;Configuration UIC-Franc;Ergonomic Concrete Soap Zambian Kwacha;Concrete Bedfordshire;portal calculating Metal;real-time discrete redundant;Synergistic Personal Loan Account Sleek;Borders;2019-07-29;deposit;extend Unbranded Fresh Pants Tools;Practical North Dakota;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png
5;implementation;Wallis and Futuna;../data/blob/hipster.txt;generating;Computers Small Fresh Gloves back-end;interface;compress lavender Investment Account;backing up;Iran;Philippine Peso Metal;Strategist;card Licensed Cotton Ball;mindshare Gorgeous;Chips;navigating;Som Rustic Frozen Keyboard ROI;23978;Handmade Tuna;motivating Operations alarm;e-markets system;Organic;Cheese Steel;Wooden Ergonomic Steel Gloves;Developer Shoes Music;Buckinghamshire Hollow Shoes;withdrawal Generic Frozen Tuna;2019-07-29;explicit;Personal Loan Account;Cambridgeshire Norfolk Island;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png
6;Soap Tasty Metal Sausages Outdoors;invoice multi-byte;../data/blob/hipster.txt;incubate deposit Station;parsing Investment Account;Branding Dynamic black;yellow;Books Generic;robust withdrawal generate;Garden open-source hybrid;Solomon Islands Dollar;Personal Loan Account HTTP;schemas Specialist China;quantify multi-byte;interface Cotton Robust;user-centric Infrastructure;85841;bandwidth;application Configurable iterate;Berkshire navigating;superstructure;streamline;Interactions;Fantastic time-frame Quality;Borders Borders Practical;methodical;2019-07-30;Danish Krone parse;neural Wooden Optimization;Tasty Rubber Car mindshare EXE;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png
7;bandwidth Liaison;program Auto Loan Account Refined;../data/blob/hipster.txt;infomediaries;Fantastic Fresh Salad;Steel Avon Visionary;exploit transition;User-centric Principal Pennsylvania;repurpose Sleek;mesh system Triple-buffered;Cotton;Advanced grow;Handmade Wooden Cheese Fresh;input Naira;Markets;Glen Refined;52837;web services;Industrial Designer Incredible Fresh Car;Principal Senior;Paraguay;Sleek Tuna magenta;Wells;Naira iterate;Unbranded Plastic Chips Brand Regional;Generic B2B;2019-07-30;withdrawal;one-to-one Indiana;holistic;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png
8;Architect;Beauty dynamic schemas;../data/blob/hipster.txt;Pound Sterling Keyboard;Licensed Usability models;Personal Loan Account markets;SCSI Aruba Chair;drive online;Liaison engage navigate;Assistant generating;Practical Steel Shirt Plastic Movies;SMS;Zimbabwe parse Customer;input Accounts;enhance Multi-channelled purple;Response;60617;Synergized;calculate Fantastic Concrete Computer Baby;Kyrgyz Republic transmit;solution connecting;California PNG engage;Burg;transmit Credit Card Account;digital Corporate Checking Account;seamless New York mesh;2019-07-30;International;Luxembourg Spurs;empower Home Loan Account SMS;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png
9;back-end Via indexing;Business-focused Canyon Orchestrator;../data/blob/hipster.txt;frictionless orchid;Future-proofed Awesome;Creek;Shirt Metal;Mouse Rupiah;Human Mission;Officer Savings Account Automated;Pants even-keeled Chair;Brazil;Island cyan;Granite open architecture;Ergonomic Soft Shoes;Bulgarian Lev Cambridgeshire;15697;streamline Home SAS;quantify;Manager;cultivate Bedfordshire;navigate Kiribati;bypass Games Customer-focused;Bond Markets Units European Composite Unit (EURCO) connecting generate;Refined;back-end enhance;2019-07-30;interface;Toys;overriding;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png
10;internet solution;Total;../data/blob/hipster.txt;Investment Account Indian Rupee;withdrawal Club Nebraska;Nevada quantify architectures;empower;customized payment;Grass-roots Cambridgeshire;Personal Loan Account;Music;Pants;Avon;blue scalable Car;bypassing Sleek Steel Shirt Rand Namibia Dollar;Fresh incubate Agent;86550;parsing;Bedfordshire;Tanzanian Shilling Assurance Nebraska;Gardens synthesizing;silver;system;Buckinghamshire;Bouvet Island (Bouvetoya);Auto Loan Account asymmetric Montana;2019-07-30;Haven Montenegro Fantastic Plastic Table;Bahamas;Manager open architecture;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png
